Time,AccelX[mm/s^2];AccelY[mm/s^2];AccelZ[mm/s^2],Total_axes acceleration, AngleX(deg); AngleY(deg);AngleZ(deg), DistanceX[mm];DistanceY[mm];DistanceZ[mm], Latitude ;Longitude
22:06:46,103.28423854509991;517.4811257521322;592.089188006728,793.110305062292,7;7;7,0.00010328423854509992;0.0005174811257521322;0.0005920891880067281,43.11653666666666;5.882384999999999 
22:06:50,339.4055188878377;210.83876020749526;147.88746728579304,426.05139600471034,53;53;53,0.0003394055188878377;0.00021083876020749526;0.00014788746728579304,43.11653666666666;5.882384999999999 
22:06:53,54.2430078728993;1326.3559217357629;125.17871393523095,1333.353683554781,2;2;2,5.4243007872899295e-05;0.001326355921735763;0.00012517871393523096,43.11653666666666;5.882384999999999 
22:06:56,418.1996931076046;1214.5361048761993;662.7262423515355,1445.4047895536153,17;17;17,0.00041819969310760463;0.0012145361048761993;0.0006627262423515354,43.11653666666666;5.882384999999999 
22:07:00,155.129303817749;577.7189901256561;444.60511876105534,745.3174116330032,12;12;12,0.000155129303817749;0.0005777189901256561;0.00044460511876105534,43.11653666666666;5.882384999999999 
22:07:03,341.43996680895486;615.6664629491169;42.351182804090115,705.2801338614905,29;29;29,0.0003414399668089549;0.0006156664629491169;4.235118280409012e-05,43.11653666666666;5.882384999999999 
22:07:06,614.3590043862662;445.63574775695804;565.6463529523207,946.5643150666778,40;40;40,0.0006143590043862663;0.000445635747756958;0.0005656463529523209,43.11653666666666;5.882384999999999 
22:07:10,342.82536162376357;2686.7943016878758;687.4351516723714,2794.451634204772,7;7;7,0.0003428253616237636;0.002686794301687876;0.0006874351516723714,43.11653666666666;5.882384999999999 
22:07:13,906.8275714047751;3227.7248869291916;481.99020359038866,3387.16086808983,16;16;16,0.0009068275714047751;0.003227724886929192;0.0004819902035903887,43.11653666666666;5.882384999999999 
22:07:16,1181.4412548446655;3304.919809258779;628.727955287296,3565.613162702842,19;19;19,0.0011814412548446656;0.0033049198092587793;0.0006287279552872961,43.11653666666666;5.882384999999999 
22:07:20,1429.4967575772596;1485.4100952021274;835.3581578890488,2224.348754760385,40;40;40,0.0014294967575772598;0.0014854100952021274;0.0008353581578890489,43.11653666666666;5.882384999999999 
22:07:23,645.375762195587;1151.0386347007761;704.2294787343479,1495.7737033795631,26;26;26,0.000645375762195587;0.0011510386347007762;0.000704229478734348,43.11653666666666;5.882384999999999 
22:07:26,43.64928901672363;1026.5987564341242;2656.9939728991,2848.7588945303705,1;1;1,4.3649289016723634e-05;0.0010265987564341242;0.0026569939728991,43.11653666666666;5.882384999999999 
22:07:30,1344.4863879013055;37.4892076619473;65.82558189389687,1346.6187638580902,87;87;87,0.0013444863879013057;3.74892076619473e-05;6.582558189389686e-05,43.11653666666666;5.882384999999999 
22:07:33,1530.92673681577;1490.618107302983;253.18121415135943,2151.6922973594683,45;45;45,0.00153092673681577;0.0014906181073029829;0.0002531812141513594,43.11653666666666;5.882384999999999 
22:07:36,2193.3680442301425;519.9414173539475;439.4663140519395,2296.5916258918105,73;73;73,0.0021933680442301428;0.0005199414173539475;0.00043946631405193947,43.11653666666666;5.882384999999999 
22:07:40,2006.2287630081178;1169.8312472629552;2092.727403351452,3126.1744963024685,40;40;40,0.0020062287630081177;0.0011698312472629554;0.002092727403351452,43.11653666666666;5.882384999999999 
22:07:43,1407.455762033463;1087.4121020921068;1588.257890736271,2384.5250951381495,36;36;36,0.0014074557620334632;0.0010874121020921067;0.001588257890736271,43.11653666666666;5.882384999999999 
22:07:46,1197.7929039955136;358.8615248266847;884.7522839101227,1531.7558678676955,51;51;51,0.0011977929039955135;0.00035886152482668464;0.0008847522839101228,43.11653666666666;5.882384999999999 
22:07:50,2227.237268861135;1253.8147288831074;1425.8343772252342,2926.711618428693,50;50;50,0.0022272372688611347;0.0012538147288831075;0.0014258343772252343,43.11653666666666;5.882384999999999 
22:07:53,1302.141439997355;596.5901624298094;137.02190678278646,1438.842296641575,65;65;65,0.001302141439997355;0.0005965901624298094;0.00013702190678278647,43.11653666666666;5.882384999999999 
22:07:56,798.0148468907678;38.63829976081801;397.545339358631,892.3916802123781,63;63;63,0.0007980148468907679;3.863829976081801e-05;0.000397545339358631,43.11653666666666;5.882384999999999 
