Time,AccelX[mm/s^2];AccelY[mm/s^2];AccelZ[mm/s^2],Total_axes acceleration, AngleX(deg); AngleY(deg);AngleZ(deg), Latitude ;Longitude
22:16:14,316.2360064156848;1770.6012867577879;333.58336912155016,1829.2927574821258,10;10;10,43.116605;5.882431666666667 
22:16:18,291.1710842959083;3329.784591083529;1448.0094231224073,3642.6607463224796,5;5;5,43.116605;5.882431666666667 
22:16:21,532.9050217596691;3024.110505533217;971.1125094699984,3220.604231808398,10;10;10,43.116605;5.882431666666667 
22:16:25,143.04669080416346;4783.5725196711255;2267.364462779362,5295.655768059091,2;2;2,43.116605;5.882431666666667 
22:16:29,734.1420357259113;2546.705447518033;906.1610605780146,2801.0357071529243,15;15;15,43.116605;5.882431666666667 
22:16:33,1456.23699736913;3577.4628823566454;403.4335790665793,3883.506858480444,22;22;22,43.116605;5.882431666666667 
22:16:36,389.1743624083186;86.1962476857503;719.6109774208015,822.6338409617889,28;28;28,43.116605;5.882431666666667 
22:16:40,10.55194502512595;17.488894939421684;4.396851590508177,20.893474912621976,30;30;30,43.116605;5.882431666666667 
22:16:44,24.332944841384652;15.393344996771974;26.182216227828903,38.91729334684389,39;39;39,43.116605;5.882431666666667 
22:16:47,7.617801011403732;11.562622340519745;19.43356029823562,23.861860646311506,19;19;19,43.116605;5.882431666666667 
